sel.K	K	SRR6826825	SRR6826824	SRR6826823	SRR6826822	SRR6826821	SRR6826820	SRR6826819	SRR6826818	SRR6826817	SRR6826816	SRR6826815	SRR6826814	SRR6826813	SRR6826812	SRR6826811	SRR6826810	SRR6826809	SRR6826808	SRR6826807	SRR6826805	SRR6826804	SRR6826803	SRR6826802	SRR6826801	SRR6826800	SRR6826799	SRR6826797	SRR6826796	SRR6826795	SRR6826793	SRR6826792	SRR6826791	SRR6826790	SRR6826789	SRR6826787	SRR6826785	SRR6826784	SRR6826783	SRR6826782	SRR6826781	SRR6826780	SRR6826779	SRR6826778	SRR6826773	SRR6826772	SRR6826771	SRR6826770	SRR6826769	SRR6826768	SRR6826762	SRR6826760	SRR6826759	SRR6826754	SRR6826751	SRR6826749	SRR6826744	SRR6826743	SRR6826742	SRR6826741	SRR6826739	SRR6826737	SRR6826734	SRR6826732	SRR6826731	SRR6826726	SRR6826724	SRR6826722	SRR6826721	SRR6826719	SRR6826718	SRR6826717	SRR6826715	SRR6826714	SRR6826713	SRR6826712	SRR6826711	SRR6826710	SRR6826709	SRR6826708	SRR6826707	SRR6826706	SRR6826705	SRR6826704	SRR6826702	SRR6826701	SRR6826700	SRR6826699	SRR6826698	SRR6826697	SRR6826696	SRR6826694	SRR6826693	SRR6826692	SRR6826690	SRR6826689	SRR6826687	SRR6826686	SRR6826685	SRR6826684	SRR6826683	SRR6826682	SRR6826681	SRR6826680	SRR6826679	SRR6826678	SRR6826677	SRR6826676	SRR6826675	SRR6826674	SRR6826673	SRR6826672	SRR6826671	SRR6826670	SRR6826669	SRR6826668	SRR6826667	SRR6826665	SRR6826664	SRR6826663	SRR6826662	SRR6826661	SRR6826660	SRR6826659	SRR6826658	SRR6826657	SRR6826656	SRR6826655	SRR6826654	SRR6826652	SRR6826651	SRR6826650	SRR6826649	SRR6826648	SRR6826647	SRR6826646	SRR6826645	SRR6826644	SRR6826643	SRR6826642	SRR6826641	SRR6826640	SRR6826639	SRR6826638	SRR6826637	SRR6826636	SRR6826635	SRR6826634	SRR6826633	SRR6826630	SRR6826629	SRR6826628	SRR6826627	SRR6826625	SRR6826624	SRR6826623	SRR6826622	SRR6826621	SRR6826620	SRR6826619	SRR6826618	SRR6826617	SRR6826616	SRR6826615	SRR6826614	SRR6826613	SRR6826612	SRR6826611	SRR6826610	SRR6826607	SRR6826605	SRR6826604	SRR6826603	SRR6826602	SRR6826600	SRR6826599	SRR6826598	SRR6826597	SRR6826596	SRR6826595	SRR6826594	SRR6826593	SRR6826592	SRR6826590	SRR6826589	SRR6826587	SRR6826585	SRR6826584	SRR6826583	SRR6826582	SRR6826581	SRR6826580	SRR6826579	SRR6826578	SRR6826577	SRR6826575	SRR6826574	SRR6826573	SRR6826572	SRR6826571	SRR6826570	SRR6826569	SRR6826568	SRR6826566	SRR6826565	SRR6826564	SRR6826562	SRR6826560	SRR6826559	SRR6826558	SRR6826557	SRR6826556	SRR6826555	SRR6826553	SRR6826550	SRR6826543	SRR6826542	SRR6826541	SRR6826536	SRR6826535	SRR6826530	SRR6826525	SRR6826524	SRR6826522	SRR6826521	SRR6826519	SRR6826514	SRR6826513	SRR6826512	SRR6826510	SRR6826509	SRR6826508	SRR6826507	SRR6826504	SRR6826501	SRR6826499	SRR6826495	SRR6826488	SRR6826487	SRR6826486	SRR6826485	SRR6826484	SRR6826483	SRR6826481	SRR6826479	SRR6826477	SRR6826476	SRR6826469	SRR6826459	SRR6826454	SRR6826448	SRR6826446	SRR6826445
FALSE	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	1	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1
FALSE	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	3	1	3	1	3	1	3	1	3	1	1	3	1	1	3	1	3	1	3	3	1	1	1	1	3	1	1	1	3	1	1	1	3	3	1	1	1	1	3	3	1	3	1	3	3	1	1	3	1	1	1	1	3	1	1	1	3	3	1	1	1	1	1	1	3	1	3	1	1	1	3	3	3	3	3	1	1	3	3	3	1	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	3	3	1	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	3	3	1	3	3	3	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	3	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1
FALSE	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	4	4	1	1	4	1	1	1	1	4	4	1	4	4	4	1	1	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	1	4	1	4	1	4	1	4	1	4	1	1	4	1	1	4	1	4	1	4	4	1	1	1	1	4	1	1	1	4	1	1	1	4	4	1	1	1	1	4	4	1	4	1	4	4	1	1	4	1	1	1	1	4	1	1	1	4	4	1	1	1	1	1	1	4	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1
FALSE	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	4	4	1	1	4	1	4	1	1	4	4	1	4	4	4	1	1	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	1	5	1	5	1	5	1	5	1	5	1	1	5	1	1	5	1	5	1	5	5	1	1	1	1	5	1	1	1	5	1	1	1	5	5	1	1	1	1	5	5	1	5	1	5	5	1	1	5	1	1	1	1	5	1	1	1	5	5	1	1	1	1	1	1	5	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	1	1	1	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1
TRUE	6	1	2	2	2	6	2	1	1	1	2	2	1	2	2	1	2	2	6	2	2	1	2	2	6	2	6	6	2	2	6	2	6	6	2	6	6	1	6	6	6	2	1	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	1	4	1	4	1	4	1	4	1	4	1	1	4	1	1	4	1	4	1	4	4	1	1	1	1	4	1	1	1	4	1	1	1	4	4	1	1	1	1	4	4	1	4	1	4	4	1	1	4	1	2	2	1	4	1	1	1	4	4	1	1	1	1	1	1	4	1	3	1	1	1	3	3	3	3	3	1	1	3	3	3	1	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	3	3	1	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	3	3	1	3	3	3	1	1	1	1	1	1	1	1	3	3	1	2	3	1	1	1	3	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1
FALSE	7	1	2	2	3	7	2	1	1	1	1	2	1	2	2	1	2	3	7	2	2	1	2	3	7	3	7	7	2	1	7	2	7	7	2	7	7	1	7	7	7	1	1	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	5	5	5	3	5	1	5	1	5	1	5	1	5	1	1	5	1	1	5	1	5	1	5	5	1	1	1	1	5	1	1	1	5	1	1	1	5	5	1	1	1	1	5	5	1	5	1	5	5	1	1	5	1	3	3	1	5	3	1	3	5	5	3	1	1	1	1	1	5	1	4	1	1	1	4	4	4	4	4	1	1	4	4	4	1	4	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	4	4	1	4	4	4	4	4	4	1	1	4	4	4	4	4	4	4	4	4	1	4	4	4	1	1	1	1	1	1	1	1	4	4	1	3	4	1	1	1	4	1	4	4	4	4	4	1	1	1	1	1	1	1	1	1	4	4	4	1	1	1	1	1	1
FALSE	8	1	2	2	3	8	2	1	1	1	1	2	1	2	2	1	2	3	8	2	2	1	2	3	8	3	8	8	2	1	8	2	8	8	2	8	6	1	8	8	8	1	1	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	6	6	6	1	6	1	6	1	6	1	6	1	6	1	1	6	1	1	6	1	6	1	6	6	1	1	1	1	6	1	1	1	6	1	1	1	6	6	1	1	1	1	6	6	1	6	1	6	6	1	1	6	1	3	3	1	6	3	1	1	6	6	3	1	1	1	1	1	6	1	5	1	1	1	5	5	4	4	5	1	1	5	4	5	1	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	5	5	1	5	4	5	5	5	5	1	1	5	5	5	5	5	5	5	5	5	1	5	5	5	1	1	1	1	1	1	1	1	5	5	1	3	5	1	1	1	5	1	5	5	5	5	5	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1
FALSE	9	1	6	6	3	7	6	1	1	1	1	6	1	6	6	1	6	3	7	6	6	1	6	3	7	2	7	7	6	1	7	6	7	7	6	7	9	1	7	7	7	1	1	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	9	9	9	2	9	1	9	1	9	1	9	1	9	1	1	9	1	1	9	1	9	1	9	9	1	1	1	1	9	1	1	1	9	1	1	1	9	9	1	1	1	1	9	9	1	9	1	9	9	1	1	9	1	2	3	2	9	2	1	2	9	9	2	1	1	1	1	1	9	1	5	1	1	1	5	4	4	4	5	1	1	5	4	5	1	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	5	5	1	5	4	5	5	5	5	1	1	5	5	5	5	5	5	5	5	5	1	5	5	5	1	1	1	1	1	1	1	1	5	5	1	2	5	1	1	1	5	1	5	5	5	5	5	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1
FALSE	10	1	8	8	3	9	8	1	1	1	1	8	1	8	8	2	8	3	9	8	8	1	8	3	10	3	10	10	8	1	10	8	9	9	8	10	6	1	10	10	9	1	1	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	2	1	2	1	1	3	3	3	3	2	1	1	6	6	6	3	6	1	6	1	6	1	6	1	6	1	1	6	1	1	6	1	6	1	6	6	1	1	1	1	6	1	2	1	6	1	1	1	6	6	2	2	1	1	6	6	1	6	1	6	6	1	1	6	1	3	8	1	6	3	1	3	6	6	3	1	1	2	1	1	6	1	5	1	1	2	5	4	4	4	5	1	1	5	4	5	1	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	1	2	5	5	1	5	4	5	5	5	5	2	1	5	5	5	5	5	5	5	5	5	2	5	5	5	2	1	2	1	2	1	2	2	5	5	1	1	5	1	1	1	5	1	5	5	5	5	5	2	2	1	2	1	1	1	1	2	5	5	5	1	1	2	2	2	1
FALSE	11	4	11	11	2	11	11	4	4	4	4	11	4	11	11	5	11	2	11	11	11	4	11	5	9	3	9	9	11	4	9	11	11	11	11	9	8	4	9	9	11	4	4	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	4	4	5	5	4	5	4	4	3	4	3	3	5	4	4	8	8	8	4	8	4	8	4	8	4	8	4	8	4	4	8	4	4	8	4	8	4	8	8	4	4	4	4	8	4	5	4	8	4	4	4	8	8	5	5	4	4	8	8	4	8	4	8	8	4	4	8	4	3	1	4	8	3	4	4	8	8	3	4	4	5	5	4	8	5	7	4	5	5	7	6	6	6	7	5	4	7	6	7	4	7	7	7	4	4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	4	5	7	7	4	7	6	7	7	7	7	5	4	7	7	7	7	7	7	7	7	7	5	7	7	7	5	5	5	4	5	5	5	5	7	7	4	4	7	5	4	4	7	4	7	7	7	7	7	5	5	4	5	4	4	4	4	5	7	7	7	4	4	5	5	5	4
FALSE	12	1	12	12	5	12	12	1	1	1	4	12	1	12	12	6	12	12	12	12	12	1	12	5	10	3	10	10	12	1	10	12	12	12	12	10	9	1	10	10	10	1	1	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	4	1	1	1	6	1	6	1	1	4	4	4	4	6	4	1	9	9	9	4	9	1	9	1	9	1	9	1	9	1	1	9	1	1	9	1	9	1	9	9	1	1	1	1	9	1	6	1	9	1	1	1	9	9	6	6	1	1	9	9	1	9	1	9	9	1	1	9	1	3	3	1	9	4	1	4	9	9	4	1	1	6	1	1	9	1	8	1	6	6	8	2	2	2	8	1	1	8	2	8	1	8	8	8	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	7	8	6	1	6	8	8	1	8	2	8	8	8	8	6	1	8	8	8	8	8	8	8	8	8	6	8	8	8	6	6	6	1	6	6	6	6	8	8	1	4	8	1	1	1	8	1	8	8	8	8	8	6	6	1	6	1	1	1	1	6	8	8	8	1	1	6	6	6	1
